user,title,startTime,endTime,estimatedTime,confidence,easyHard,assignClass,assignType,actualTime,predictedTime,completed,timeSpent
Fatoumatta,assign 0,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),214.53009109555327,3,4,Language & Literature,Essay,254.30912628386494,0,True,254.30912628386494
Fatoumatta,assign 1,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),212.10663619294897,1,1,Language & Literature,Essay,249.1348270194798,1,True,249.1348270194798
Fatoumatta,assign 2,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),214.76726868796516,2,3,Language & Literature,Essay,270.0418189006624,2,True,270.0418189006624
Fatoumatta,assign 3,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),65.63451696877748,4,5,Language & Literature,Reading,85.85979821903648,3,True,85.85979821903648
Fatoumatta,assign 4,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),36.462795369899695,4,5,Language & Literature,Reading,60.84600660486625,4,True,60.84600660486625
Fatoumatta,assign 5,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),74.71640552441637,5,3,Language & Literature,Reading,33.403840795823974,5,True,33.403840795823974
Fatoumatta,assign 6,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),136.77180138987703,5,3,Language & Literature,Writing Prompt,109.05767892506648,6,True,109.05767892506648
Fatoumatta,assign 7,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),134.67277161118997,3,3,Language & Literature,Writing Prompt,140.05284464538838,7,True,140.05284464538838
Fatoumatta,assign 8,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),151.38956771756338,2,4,Language & Literature,Writing Prompt,168.89288650538796,8,True,168.89288650538796
Fatoumatta,assign 9,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),142.07596190636804,4,4,Language & Literature,Writing Prompt,178.33783711222574,9,True,178.33783711222574
Fatoumatta,assign 10,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),148.9590015720949,2,4,Language & Literature,Writing Prompt,181.37408316687277,10,True,181.37408316687277
Fatoumatta,assign 11,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),147.41474995531786,3,3,Language & Literature,Writing Prompt,141.16239387234037,11,True,141.16239387234037
Fatoumatta,assign 12,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),74.60969447868395,4,5,Mathematics,Online Activity,169.6876455583001,12,True,169.6876455583001
Fatoumatta,assign 13,Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),Wed Apr 17 2019 12:00:00 GMT-0600 (Mountain Daylight Time),69.23726077249115,5,2,Mathematics,Online Activity,95.02852576758974,13,True,95.02852576758974
